"Household Identifier (French metropolitain households only)
Source : table ""households"" in BDF, INSEE";"INSEE Statistical ponderation (for making the sample representative for the total French metropolitan population)
Source : table ""households"" in BDF, INSEE";"Expenditures (COICOP)
Food and non alcoholic beverages
Source : table ""Expenditures"", BDF, INSEE";"Expenditures (COICOP)
Acoholic beverages, tabocco and narcotics";"Expenditures (COICOP)
Clothing and footware";"Expenditures (COICOP)
Housing, electricity, gas and other combustibles";"Expenditures (COICOP)
Furnitures, housekeeping and home maintenance";"Expenditures (COICOP)
Health";"Expenditures (COICOP)
Transports";"Expenditures (COICOP)
Communications";"Expenditures (COICOP)
Leisure and culture";"Expenditures (COICOP)
Education";"Expenditures (COICOP)
Hotels and restaurants";"Expenditures (COICOP)
Miscellaneous goods and services";"Expenditures (COICOP)
Taxes, loan payments, large works, savings, and employer's fees";"Expenditures (COICOP)
Housing allocations received (APL)";"Total final consumption expenditures 
Include items C1 to C12 ";;"Total current income divided by the number of consumption units according to the OECD equilence scale
(standard of leaving definition)
Computed ";"Standard of leaving decile
(computed using revtotuc)";"Total number of people
Source : Table ""Households"" from BDF, INSEE";"Number of pensioners
Source : table ""individuals"" in BDF, INSEE
Computed
Sum of household's individuals with modality 5 (retired or ""pre-retired"") for variable SITUA (labour market status).";"Number of unemployed
Source : table ""individuals"" in BDF, INSEE
Computed
Sum of household's individuals with modality 4 (unemployed people registered or non to the French employment office) for variable SITUA (labour market status).";"Number of employed
Source : table ""individuals"" in BDF, INSEE
Computed
Sum of household's individuals with modality 1 (employed) and 2 (pais apprentice/trainee) for variable SITUA (labour market status).";"Number of consumption units (OECD equivalent scale : 1 for the first adult, 0.5 for each person older than 14, 0.3 for each person younger than 14)
Source : Table ""Households"" from BDF, INSEE";"Net wages
Source : Table ""Households"" from BDF, INSEE";"Incomes of self-employed persons
Source : Table ""Households"" from BDF, INSEE";"Unemployment benefits
Source : Table ""Households"" from BDF, INSEE";"Pension benefits
Source : Table ""Households"" from BDF, INSEE";"Social benefits
Source : Table ""Households"",  BDF, INSEE";"Other social benefits 
Computed : Social Benefits (revsoc) minus Pension Benefits (retraites) minus Unemployment Benefits (chomage)
Source (revsoc, retraites, chomage): Table ""Households"",  BDF, INSEE";"Property income
Source : Table ""Households"" from BDF, INSEE";;;;;;;;;;;;;;
162;3246,156086;0;562;410;1404;18;0;4502;540;367;0;676;648;655;2556;9127;0;13816;3;1;0;0;1;1;11260;0;0;0;2556;2556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
163;1916,365395;5967;67;6950;7783;297;538;2180;1094;729;0;567;5284;3272;240;31456;0;18002;5;4;0;1;1;2,1;28770;0;6670;0;9000;2330;34;6;0;28;0;0;0;0;0;0;0;0;0;0;0
164;2097,064768;2188;2190;269;1756;300;0;2387;378;621;0;0;2365;1403;0;12454;4344;26785;8;1;1;0;0;1;6040;0;0;20590;20590;0;155;155;0;0;0;0;0;0;0;0;0;0;0;0;0
165;2016,87853;3826;1685;0;1284;220;276;6180;2256;630;0;1238;2433;3820;0;20028;5436;8154;1;8;0;0;1;3,7;17660;0;0;0;12510;12510;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
166;1563,788978;11955;1128;3328;1980;2304;817;14382;623;3198;0;2660;3073;9675;0;45448;11400;20463;6;5;0;0;2;2,4;43020;0;0;0;6030;6030;61;61;0;0;0;0;0;0;0;0;0;0;0;0;0
167;1934,579647;1631;30;24;1349;2137;2894;1045;746;760;0;624;6639;39211;0;17879;4296;38625;10;2;1;0;1;1,5;40560;0;0;15030;15030;0;2348;593;0;568;202;985;0;0;0;0;0;0;0;0;0
168;3519,433924;13315;942;702;2880;2994;0;300;1045;2028;0;1246;11826;18216;0;37278;5904;23849;7;4;0;0;2;2,1;48380;0;0;0;1520;1520;182;0;0;182;0;0;0;0;0;0;0;0;0;0;0
170;2064,280902;11777;0;150;2896;2188;688;1860;1818;1615;0;299;9746;3124;0;33037;6864;30877;9;1;1;0;0;1;0;0;0;25230;25230;0;5647;325;0;0;120;5202;0;0;0;0;0;0;0;5400;0
172;1145,319107;3972;1234;3270;5765;327;120;15489;960;368;0;0;7775;6254;3324;39280;0;19088;5;5;0;0;2;2,4;33240;0;2340;0;12544;10204;28;28;0;0;0;0;0;0;0;0;0;0;0;0;750
177;1029,665724;6527;442;603;1753;187;192;1560;0;1231;0;0;3795;17515;0;16290;3948;23160;7;2;2;0;0;1,5;0;0;0;34020;34020;0;720;720;0;0;0;0;0;0;0;0;0;0;0;0;0
178;2216,973511;5888;1196;805;10740;260;12;1640;1168;271;0;1804;1613;1094;0;25397;0;18967;5;4;0;0;2;2,3;41940;0;0;0;1520;1520;164;164;0;0;0;0;0;0;0;0;0;0;0;0;0
180;2636,692567;0;0;0;7953;360;6;0;719;171;0;150;1664;854;0;11023;0;20781;6;1;1;0;0;1;0;0;0;20580;20580;0;201;78;0;123;0;0;0;0;0;0;0;0;0;0;0
181;2073,464885;6244;0;3110;1549;0;243;4630;994;1514;83;740;5475;11918;0;24582;9564;17119;5;4;0;0;2;2,3;33780;0;0;0;1810;1810;1384;60;22;413;0;889;0;0;0;0;0;0;0;0;0
182;1556,207646;2919;0;597;3288;3145;12;11599;685;396;0;0;3437;4187;0;26078;3192;16912;5;2;1;0;1;1,5;0;0;0;25350;25350;0;18;18;0;0;0;0;0;0;0;0;0;0;0;0;0
183;1126,51313;7180;546;2227;4098;997;6;2994;847;604;0;916;3836;3765;4188;24251;0;8413;1;6;0;0;1;3,1;5680;0;6510;0;20368;13858;33;33;0;0;0;0;0;0;0;0;0;0;0;0;0
184;968,525905;3326;342;1579;1551;2810;0;3418;671;1048;0;888;5012;14569;0;20645;6024;22096;7;3;0;0;2;1,8;37740;0;0;0;1450;1450;582;487;0;95;0;0;0;0;0;0;0;0;0;0;0
185;2189,646318;15978;8931;1239;7559;12452;6019;9389;1202;4803;0;15626;6715;11332;0;89913;12216;38489;10;2;2;0;0;1,5;0;0;0;50930;50930;0;6804;0;0;0;1888;4517;0;399;0;0;0;0;0;0;0
186;1822,310434;3654;1591;252;9793;2223;271;5050;779;1156;0;1298;2906;10184;0;28973;2976;31772;9;1;0;0;1;1;6070;0;0;25450;25450;0;252;252;0;0;0;0;0;0;0;0;0;0;0;0;0
187;2945,647065;6433;2860;2235;10086;4698;120;1950;792;5414;0;1160;2185;12371;0;37933;5064;14310;3;4;0;0;2;2,3;31380;0;0;0;1490;1490;43;43;0;0;0;0;0;0;0;0;0;0;0;0;0
189;1069,577244;4049;0;137;2173;165;709;0;368;516;0;0;3129;1041;0;11246;5052;15393;4;2;2;0;0;1,5;0;0;0;23090;23090;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
190;7492,119151;707;0;251;3360;0;753;2278;839;383;0;0;150;0;0;8721;0;15153;4;1;0;1;0;1;11260;0;2050;0;2050;0;43;43;0;0;0;0;0;0;0;0;0;0;0;0;0
192;6262,46034;7623;1275;682;7338;1378;356;250;928;771;0;0;7952;14;0;28553;0;25218;8;3;0;0;2;1,8;40370;0;0;0;4940;4940;82;82;0;0;0;0;0;0;0;0;0;0;0;0;0
193;5162,078214;4382;0;844;3598;1549;1090;1560;1179;579;0;0;3299;1293;0;18080;2832;18445;5;2;2;0;0;1,5;0;0;0;26030;26030;0;1637;577;627;0;6;427;0;0;0;0;0;0;0;0;0
194;2724,87755;6281;2031;2688;4160;306;245;10877;1007;2278;0;7492;6754;9691;0;44119;6048;26541;8;3;0;0;3;2;52490;0;0;0;0;0;591;227;0;0;0;364;0;0;0;0;0;0;0;0;0
196;5417,544893;14036;3968;1325;1979;1389;60;557;528;4367;0;300;6231;5429;0;34740;4680;20223;6;2;2;0;0;1,5;260;0;0;29830;29830;0;245;7;0;204;0;34;0;0;0;0;0;0;0;0;0
203;1803,795943;8380;572;3243;2665;1631;450;7462;2171;243;0;9273;7052;17935;0;43142;15024;22330;7;4;0;0;2;2,1;45380;0;0;0;1490;1490;24;24;0;0;0;0;0;0;0;0;0;0;0;0;0
204;3304,537684;7639;2038;2122;3987;9242;812;1062;1098;3844;0;0;7969;15946;0;39813;6768;28301;8;3;0;0;2;1,8;48610;0;0;0;2180;2180;151;99;0;52;0;0;0;0;0;0;0;0;0;0;0
205;2377,780792;10295;1768;3779;2350;1199;6;18573;1232;3328;0;1880;6238;7856;0;50648;8976;36105;9;3;0;0;3;2;70110;0;0;0;0;0;2099;1838;0;261;0;0;0;0;0;0;0;0;0;0;0
206;2666,131268;4218;561;2813;1374;268;132;2083;485;2267;0;1310;3339;5593;0;18850;4152;30381;9;2;0;0;2;1,5;45220;0;0;0;0;0;352;352;0;0;0;0;0;0;0;0;0;0;0;0;0
207;2042,868155;7019;8477;605;1960;2736;455;5698;379;330;0;280;15033;17502;0;42972;5652;19853;6;2;2;0;0;1,5;0;0;3910;25640;29550;0;229;229;0;0;0;0;0;0;0;0;0;0;0;0;0
208;3138,321643;1863;0;0;2078;200;99;0;360;303;0;0;1172;2365;0;6075;2232;16775;4;1;1;0;0;1;0;0;0;16400;16400;0;375;181;0;0;0;194;0;0;0;0;0;0;0;0;0
211;3237,037897;700;0;432;2100;470;174;5430;696;2966;0;3187;1829;15567;0;17984;4524;37502;10;1;0;0;1;1;36290;0;0;0;0;0;1212;178;0;16;0;1018;0;0;0;0;0;0;0;0;0
212;4096,874689;801;0;0;3584;588;54;312;396;0;0;842;1500;386;2952;8077;0;13990;3;1;0;1;0;1;0;0;5520;5330;13802;2952;188;0;0;0;0;188;0;0;0;0;0;0;0;0;0
215;2971,561461;5098;0;638;2899;1271;28;11145;533;1647;0;0;3440;11004;0;26699;2940;34566;9;1;1;0;0;1;0;0;0;33320;33320;0;1246;652;0;0;0;594;0;0;0;0;0;0;0;0;0
216;1916,466943;12285;1050;923;3884;1271;533;15639;661;2735;0;0;6168;12187;0;45149;6360;28258;8;2;1;0;1;1,5;25820;0;0;16480;16480;0;87;87;0;0;0;0;0;0;0;0;0;0;0;0;0
217;2234,490856;9164;488;3442;2530;2112;513;0;1630;10723;0;494;4871;36926;0;35967;3084;18628;5;3;0;0;3;2;13710;20390;0;0;0;0;3156;49;0;0;0;107;0;0;3000;0;0;0;0;0;0
218;1520,133743;20499;0;168;15800;4641;231;17600;1463;5957;1200;840;4760;4832;0;73159;0;25714;8;5;0;0;1;2,4;55190;-300;0;0;6090;6090;733;108;0;126;499;0;0;0;0;0;0;0;0;0;0
220;1692,992263;9442;0;2217;2193;2160;135;4065;1296;1724;0;382;5763;17098;0;29377;15228;18133;5;4;0;0;2;2,3;39640;-70;0;0;2100;2100;37;13;0;24;0;0;0;0;0;0;0;0;0;0;0
221;2493,390189;1630;175;450;1160;274;0;25;538;265;0;0;1174;2912;0;5691;4152;11894;2;1;1;0;0;1;0;0;0;11650;11650;0;244;10;0;0;0;234;0;0;0;0;0;0;0;0;0
223;1847,397767;3764;44;1961;8230;0;374;17283;783;995;0;1742;1109;2582;0;36285;0;18662;5;2;0;0;2;1,5;27880;0;0;0;0;0;113;113;0;0;0;0;0;0;0;0;0;0;0;0;0
224;3533,766434;3827;1251;0;3485;0;6;1040;541;687;0;0;1745;3796;0;12582;0;16050;4;1;0;0;1;1;16050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
228;4058,508462;0;0;230;9012;599;132;0;384;0;0;0;4494;489;0;14851;0;22669;7;1;1;0;0;1;0;0;0;22480;22480;0;189;189;0;0;0;0;0;0;0;0;0;0;0;0;0
229;959,1324415;19866;0;0;2386;1347;6;2020;699;8958;0;1716;7359;3360;0;44357;3996;22398;7;4;2;0;2;2,5;29850;0;0;24700;24700;0;1445;745;0;211;141;348;0;0;0;0;0;0;0;0;0
230;1391,372794;3718;614;516;2482;801;78;1552;356;5205;0;0;11705;10504;0;27027;3972;12582;3;2;0;0;1;1,5;16350;0;0;0;2520;2520;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0
232;2058,768153;9050;474;1955;2817;8581;330;0;984;3182;0;1531;3754;6490;0;32658;6660;22244;7;4;0;0;2;2,1;45140;0;0;0;1520;1520;53;53;0;0;0;0;0;0;0;0;0;0;0;0;0
233;2080,667393;9355;0;3088;4920;0;819;2240;1518;7981;0;7726;6383;4696;0;44030;8316;31885;9;4;0;0;2;2,1;63460;0;0;0;1490;1490;2008;651;0;293;111;953;0;0;0;0;0;0;0;0;0
235;1518,647081;458;0;1558;2400;939;300;3772;864;3961;0;1473;2538;13189;0;18263;8076;21965;7;4;0;0;2;2,3;49030;0;0;0;1490;1490;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
236;1326,740596;11456;70;1135;2410;907;0;2127;553;2623;0;1093;4450;7363;0;26824;5304;23642;7;2;0;0;1;1,5;34710;0;0;0;0;0;753;116;0;6;0;631;0;0;0;0;0;0;0;0;0
238;2435,608949;8047;0;12224;4750;25637;463;1975;1175;12493;7200;2502;6505;40401;0;82971;9672;61647;10;2;0;0;2;1,5;24390;65060;0;0;0;0;3021;290;198;27;0;2506;0;0;0;0;0;0;0;0;0
239;2924,759894;789;0;4717;2086;0;5496;29639;1589;1318;0;4075;4034;11971;0;53743;6816;25283;8;2;0;0;2;1,5;37810;0;0;0;0;0;115;115;0;0;0;0;0;0;0;0;0;0;0;0;0
242;1838,160583;11975;111;753;2609;6933;57;6230;912;2421;0;300;3358;30498;0;35659;3108;46207;10;2;0;0;2;1,5;13890;55380;0;0;0;0;40;40;0;0;0;0;0;0;0;0;0;0;0;0;0
243;2177,890284;12581;2537;7795;7882;1257;773;4725;2060;1700;0;2600;4304;300;2808;48214;0;11426;2;7;1;0;0;3,2;0;0;0;22660;36528;13868;35;35;0;0;0;0;0;0;0;0;0;0;0;0;0
244;3196,579161;4418;0;1990;9841;8684;6;14908;1070;3394;0;16339;1985;71267;0;62635;6984;64753;10;2;0;0;2;1,5;27770;49790;0;0;0;0;19569;101;0;0;27;283;0;0;19158;0;0;0;0;0;0
246;3305,358076;1143;4194;2122;810;1350;49;2056;852;1587;0;3252;9461;9277;0;26876;4968;32582;9;1;0;0;1;1;31560;0;0;0;0;0;1022;89;0;527;0;406;0;0;0;0;0;0;0;0;0
247;2190,265841;1347;0;0;2068;0;0;0;396;0;0;960;313;720;0;5084;2892;12620;3;1;0;0;1;1;8200;0;0;0;2050;2050;2370;3;0;0;0;2367;0;0;0;0;0;0;0;0;0
248;2335,307849;5134;0;2197;2920;130;197;5972;986;667;250;510;11902;2638;0;30865;0;27525;8;2;0;0;1;1,5;32950;0;860;3550;4410;0;279;279;0;0;0;0;0;0;0;0;0;0;0;0;0
249;2650,950289;4994;2381;600;6611;0;36;3120;1032;1437;0;0;3229;3778;0;23440;0;30105;9;2;2;0;0;1,5;0;0;0;44980;44980;0;178;178;0;0;0;0;0;0;0;0;0;0;0;0;0
250;1316,926564;7719;2585;101;6464;3026;1232;31698;689;1713;0;224;3438;6555;0;58889;0;18375;5;2;1;0;1;1,5;1550;0;3570;20690;24260;0;1753;90;0;131;0;1532;0;0;0;0;0;0;0;0;0
252;2270,370327;9057;4266;7066;3261;1125;318;5591;1824;2136;0;5588;4510;14631;0;44742;12936;49447;10;3;0;1;1;2;98710;0;0;0;0;0;184;170;14;0;0;0;0;0;0;0;0;0;0;0;0
255;1830,831652;2659;150;1308;1470;5242;1037;13633;634;6791;0;3660;3729;4818;0;40313;3912;37167;9;2;0;0;2;1,5;54450;0;0;0;0;0;1301;402;0;0;0;899;0;0;0;0;0;0;0;0;0
256;3330,058232;3088;0;144;4405;235;120;864;792;1663;0;25;2530;2381;0;13866;3396;18753;5;2;2;0;0;1,5;0;0;0;27230;27230;0;899;899;0;0;0;0;0;0;0;0;0;0;0;0;0
258;1397,201129;3015;1050;605;1920;906;130;1962;720;1090;8;1528;2180;19;3960;15114;0;13406;3;3;0;1;0;1,6;6530;0;3090;0;14920;11830;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
260;2533,15988;5594;0;993;1993;1144;819;2262;1044;19308;0;4549;2009;59458;0;39715;7968;63387;10;2;0;0;2;1,5;52310;33500;0;0;0;0;9270;219;208;1009;34;0;0;0;7800;0;0;0;0;0;0
261;3380,650527;3155;1186;42;1668;364;12;0;858;231;0;0;886;313;3600;8402;0;6506;1;3;0;0;2;1,8;0;0;0;0;11710;11710;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
262;2711,380525;13190;2480;643;15956;4854;1541;9545;793;4371;0;1163;5047;15288;0;59583;0;93528;10;1;0;0;1;1;64350;0;0;8870;8870;0;2308;95;0;2213;0;0;0;0;0;0;0;0;0;0;0
263;1053,404214;3277;3742;1075;2160;381;401;0;906;1862;0;1168;3847;18509;0;18819;10188;16596;4;5;0;0;2;2,4;34450;0;0;0;5360;5360;21;21;0;0;0;0;0;0;0;0;0;0;0;0;0
265;1712,093582;12159;988;2810;1932;540;6;22294;872;4985;0;500;3636;9310;0;50722;4464;28522;8;2;1;0;0;1,5;8980;0;0;23440;23440;0;10363;127;0;0;52;184;0;0;10000;0;0;0;0;0;0
266;4088,496235;6068;671;359;6972;2696;150;1010;290;2939;0;130;1781;1655;0;23066;0;19480;6;2;2;0;0;1,5;0;0;0;27890;27890;0;1330;469;0;861;0;0;0;0;0;0;0;0;0;0;0
267;2988,040563;4667;4862;692;2060;90;6;28901;1529;4159;0;1199;2982;5847;0;51147;8196;24800;7;2;0;0;2;1,5;37150;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0;0;0;0;0;0
268;1358,502568;6721;520;586;2047;6630;147;680;480;1959;0;0;8769;5459;0;28539;4956;22420;7;3;3;0;0;2;0;0;0;44840;44840;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
269;2903,27646;5718;78;1982;6220;151;288;14734;1319;923;0;30;7495;16739;2028;38938;0;16419;4;3;0;0;2;1,8;0;20750;790;0;8338;7548;466;227;0;239;0;0;0;0;0;0;0;0;0;0;0
271;2750,336903;794;0;225;5666;570;328;5267;528;3289;0;2236;2092;5502;0;20995;0;20700;6;1;0;0;1;1;20700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
272;3099,084575;9756;0;5006;11614;1568;0;20853;655;558;150;0;17272;202399;276;67432;11136;19588;6;4;0;0;1;2,1;27500;0;0;0;8556;8556;5079;156;0;123;0;0;0;0;4800;0;0;0;0;0;0
275;3360,852877;4575;0;0;2700;0;169;60;340;140;0;0;272;0;3300;8256;0;8500;1;2;0;0;0;1,5;0;0;0;9450;12750;3300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
277;2780,643395;0;3120;2789;125;0;60;5200;627;3781;0;3120;2226;17859;0;21048;4848;97840;10;1;0;0;1;1;0;95720;0;0;2120;2120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
279;1594,90159;511;0;4904;13033;2949;528;19677;360;2953;333;3853;4365;7504;0;53466;0;43301;10;3;0;0;1;1,6;63860;0;0;0;4200;4200;1222;306;0;91;0;825;0;0;0;0;0;0;0;0;0
280;3564,623728;681;0;1854;0;469;0;114;62;1234;0;1614;0;0;0;6028;2576;2192;1;1;0;0;0;1;0;0;0;0;0;0;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0
281;1458,931109;1285;0;0;670;615;225;797;995;190;0;4438;2111;3629;0;11326;5592;27831;8;2;0;0;2;1,5;41080;0;0;0;0;0;667;667;0;0;0;0;0;0;0;0;0;0;0;0;0
282;1359,487966;4808;0;834;2662;259;1760;20561;1020;121;0;0;4979;8182;0;37004;7740;38517;10;2;2;0;0;1,5;0;0;0;54520;54520;0;3256;549;0;0;635;2072;0;0;0;0;0;0;0;0;0
283;3507,103689;637;1123;1024;1737;400;0;4126;2670;4749;0;2711;2854;9545;0;22031;12768;29149;9;2;0;0;2;1,5;34970;0;0;0;8750;8750;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0
284;2264,5039;827;0;1508;2064;35;0;0;707;3793;0;0;448;0;3960;9382;0;8622;1;3;0;0;0;1,8;1720;0;0;0;13800;13800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
285;1678,950224;1646;0;548;2480;0;30;580;830;506;0;670;2244;6135;0;9534;3744;15540;4;1;0;0;1;1;15540;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
286;1299,245848;17872;0;2155;2439;1930;466;8770;1427;3456;0;3086;7723;11807;480;49324;4872;12295;2;4;0;0;3;2,5;17480;10970;0;0;2160;2160;127;0;0;0;0;127;0;0;0;0;0;0;0;0;0
290;2616,458263;4385;0;211;1142;703;0;552;432;299;0;0;1066;5536;0;8790;4656;14388;3;1;0;0;1;1;14200;0;0;0;0;0;188;148;0;40;0;0;0;0;0;0;0;0;0;0;0
291;2220,443417;14771;359;2542;1958;2392;460;7756;558;28748;3200;5501;3765;25775;0;72010;7896;21267;6;5;0;0;2;3;58390;0;0;0;5120;5120;290;225;0;56;9;0;0;0;0;0;0;0;0;0;0
292;3490,165208;1583;3756;719;2100;28;60;300;448;655;0;0;696;1200;3576;10345;0;8626;1;1;0;0;1;1;0;1150;0;0;7456;7456;20;20;0;0;0;0;0;0;0;0;0;0;0;0;0
293;2389,36661;678;1123;540;4227;0;6;73;347;428;0;0;1560;1052;0;8982;0;16044;4;1;1;0;0;1;0;0;0;16030;16030;0;14;14;0;0;0;0;0;0;0;0;0;0;0;0;0
294;2139,809163;12370;0;1187;2283;3758;0;2645;1752;16276;2136;7386;7058;1739;0;56851;3096;15995;4;5;0;0;2;3;15910;23800;0;0;8150;8150;125;105;0;20;0;0;0;0;0;0;0;0;0;0;0
295;2023,954333;5554;0;709;3232;1053;180;1572;1726;1533;0;6937;8751;13366;0;31247;15204;20876;6;5;0;0;2;2,4;44310;0;0;0;5560;5560;233;220;0;0;13;0;0;0;0;0;0;0;0;0;0
296;1939,991047;5547;281;1046;1796;138;708;35380;655;2655;0;644;21664;18535;0;70514;3960;23674;7;3;0;0;2;1,8;12580;28350;0;0;650;650;1034;157;0;379;22;476;0;0;0;0;0;0;0;0;0
298;3789,855618;263;0;1148;9883;0;1766;1265;1408;8512;0;348;4296;1384;0;28889;0;16506;4;3;0;1;1;2;26800;0;6130;0;6130;0;81;81;0;0;0;0;0;0;0;0;0;0;0;0;0
301;2228,180077;6887;812;1131;7600;538;36;0;710;589;0;0;1350;809;0;19653;0;15940;4;2;2;0;0;1,5;0;0;0;23910;23910;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
302;2267,890452;0;0;194;4556;787;858;2600;359;3340;0;0;1943;714;0;14637;0;15787;4;2;0;1;1;1,5;10980;0;12230;0;12230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
303;3512,186308;6150;0;2471;2999;4820;576;3253;499;639;0;346;2140;63;5052;23893;0;7297;1;4;0;1;1;2,3;2930;0;3940;0;13842;9902;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0
304;2368,880096;6082;1084;2689;1911;1498;512;1182;1920;5395;1680;930;6964;9987;0;31847;8928;23504;7;2;2;0;0;1,5;0;0;0;34860;34860;0;396;177;0;0;0;219;0;0;0;0;0;0;0;0;0
307;1429,169006;0;0;384;1790;1300;328;1667;752;16;0;75;4060;1450;0;10372;4884;8823;1;1;1;0;0;1;0;0;0;8780;8780;0;43;43;0;0;0;0;0;0;0;0;0;0;0;0;0
309;2458,883596;137;0;195;6544;844;160;0;300;140;0;260;1827;0;0;10407;0;9486;1;1;1;0;0;1;0;0;0;9360;9360;0;76;8;0;68;0;0;0;0;0;0;0;0;0;0;0
311;2848,892017;1785;660;299;10355;3704;631;1881;173;3491;0;30;1886;10408;0;24895;0;35782;9;1;1;0;0;1;0;0;0;31370;31370;0;4412;158;0;0;0;3526;0;0;0;728;0;0;0;0;0
312;1961,065438;4033;777;528;2221;495;3486;1700;605;43;0;0;1877;0;2244;15765;0;16359;4;2;1;0;0;1,5;0;0;0;12970;24364;11394;174;0;0;0;0;174;0;0;0;0;0;0;0;0;0
313;6124,858433;198;0;422;5987;2373;483;4575;783;716;0;449;2743;4190;0;18729;0;14091;3;1;0;0;1;1;14080;0;0;0;0;0;11;11;0;0;0;0;0;0;0;0;0;0;0;0;9000
320;3090,508573;4385;260;1542;5747;70;810;2400;1150;4987;0;0;3044;9946;0;24395;0;24503;7;2;0;0;2;1,5;36430;300;0;0;0;0;25;25;0;0;0;0;0;0;0;0;0;0;0;0;0
321;1162,349963;3656;0;1636;1101;358;415;8100;750;2044;600;3256;4832;22299;0;26748;5196;18304;5;3;0;0;1;2;30700;0;0;0;0;0;5907;24;0;171;0;0;0;0;5712;0;0;0;0;0;850
323;3325,200049;504;302;3407;3628;2627;220;28439;885;121;0;3484;4881;8669;0;48498;4356;38300;10;1;0;0;1;1;34720;0;0;0;0;0;3580;265;0;38;0;3277;0;0;0;0;0;0;0;0;0
324;2034,926941;9758;0;3438;2323;1047;1307;3654;300;16474;0;1102;6571;12623;0;45974;7776;56991;10;2;1;0;0;1,5;0;0;0;59310;59310;0;26176;535;7;0;706;18928;0;0;6000;0;0;0;0;0;0
326;3319,564122;1737;0;72;2630;0;4241;0;1045;471;0;0;6310;1322;0;16506;4716;20729;6;3;2;1;0;2;1330;0;0;21630;27050;5420;13078;78;0;0;0;0;0;0;13000;0;0;0;0;0;0
327;3339,64148;691;0;104;5480;0;0;2556;929;1812;0;0;1384;2220;0;12956;0;5610;1;1;0;1;0;1;0;0;5610;0;5610;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
328;3510,745045;3222;1645;812;7549;2;120;300;1358;1994;400;4998;4578;2323;0;26978;0;17109;5;2;0;0;1;1,5;25600;0;0;0;0;0;64;41;0;23;0;0;0;0;0;0;0;0;0;0;0
329;2316,298317;5031;0;344;1546;327;24;1624;696;2946;0;1111;1986;4461;0;15635;6756;35163;9;1;1;0;0;1;0;0;0;34540;34540;0;623;190;13;101;308;11;0;0;0;0;0;0;0;0;0
330;1526,935739;3962;0;580;7588;0;4744;38330;337;4466;0;96;4181;22094;0;64284;2448;37070;9;1;0;0;1;1;12550;0;0;15520;15520;0;9000;0;0;0;0;0;0;0;9000;0;0;0;0;0;0
331;3631,151022;1891;0;120;7320;748;0;5872;480;546;0;1196;1501;1154;0;19674;0;26063;8;1;0;0;1;1;22930;0;0;0;0;0;3133;438;4;1268;0;1423;0;0;0;0;0;0;0;0;0
332;3095,102317;1600;0;381;2836;848;36;66;360;1540;0;0;454;360;2400;8121;0;5570;1;1;0;0;0;1;0;0;0;3170;5570;2400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
335;2182,675667;2226;0;2854;2996;164;615;5861;1408;5632;752;5389;27554;15520;0;55451;6924;21270;6;4;0;0;2;2,1;27960;0;10820;0;12910;2090;196;6;0;190;0;0;0;0;0;0;0;0;0;0;0
336;1682,422133;2346;0;60;2760;703;0;2716;568;1366;0;0;1778;9291;0;12297;3192;15630;4;1;0;0;1;1;15630;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
337;2383,370675;309;0;789;2277;0;0;4162;600;1242;0;413;3169;1299;0;12961;3972;22940;7;2;1;0;1;1,5;22400;0;11950;0;11950;0;60;32;28;0;0;0;0;0;0;0;0;0;0;0;0
340;3620,900619;80;0;412;8220;1467;0;2272;420;13634;0;2406;2810;1032;0;31721;0;65619;10;1;0;0;1;1;65130;0;0;0;0;0;489;455;0;34;0;0;0;0;0;0;0;0;0;0;0
342;2860,906443;7753;1319;3717;2351;1132;138;295;435;6405;0;310;2551;6874;0;26406;3456;19393;6;2;1;0;1;1,5;16260;0;0;12470;12470;0;360;72;0;0;0;288;0;0;0;0;0;0;0;0;0
344;3902,573285;7881;0;108;6256;727;507;2276;868;870;400;800;6549;515;0;27242;0;12650;3;3;0;0;2;2;23290;0;0;0;0;0;2010;634;0;0;0;1376;0;0;0;0;0;0;0;0;0
